orig_name,new_name,color,type,source,old_slug,new_slug,local_img
Bianco Lava,Bianco Vulcanico,white,marble,hmg,bianco-lava,bianco-vulcanico,images/0000_Bianco_Lava.jpg
Dimond White,Crystal Magnifico,white,marble,hmg,dimond-white,crystal-magnifico,images/0001_Dimond_White.jpg
Diamond white Shot Blast Finish,Arctic Imperiale,white,marble,hmg,diamond-white-shot-blast-finish,arctic-imperiale,images/0002_Diamond_white_Shot_Blast_Finish.jpg
White On White (WOW),Alpine Classico,white,marble,hmg,white-on-white-wow,alpine-classico,images/0003_White_On_White__WOW_.jpg
Alaska Snow Sea,Polar Niveo,white,marble,hmg,alaska-snow-sea,polar-niveo,images/0004_Alaska_Snow_Sea.jpg
Statuario SGR,Snow Statuario,white,marble,hmg,statuario-sgr,snow-statuario,images/0005_Statuario_SGR.jpg
Statuario 1 Areka Finish,Pearl Statuario,white,marble,hmg,statuario-1-areka-finish,pearl-statuario,images/0006_Statuario_1_Areka_Finish.jpg
Statuario 2,Neve Statuario,white,marble,hmg,statuario-2,neve-statuario,images/0007_Statuario_2.jpg
Statuario 3,Ghiaccio Statuario,white,marble,hmg,statuario-3,ghiaccio-statuario,images/0008_Statuario_3.jpg
Statuario 4,Lunare Statuario,white,marble,hmg,statuario-4,lunare-statuario,images/0009_Statuario_4.jpg
Bianco Iceberg,Bianco Puro,white,marble,hmg,bianco-iceberg,bianco-puro,images/0010_Bianco_Iceberg.jpg
Bianco Ajo Pelado,Crystal Sontuoso,white,marble,hmg,bianco-ajo-pelado,crystal-sontuoso,images/0011_Bianco_Ajo_Pelado.jpg
Calacatta Galena,Arctic Calacatta,white,marble,hmg,calacatta-galena,arctic-calacatta,images/0012_Calacatta_Galena.jpg
Foam White,Alpine Nobile,white,marble,hmg,foam-white,alpine-nobile,images/0013_Foam_White.jpg
Foam White 2,Polar Prezioso,white,marble,hmg,foam-white-2,polar-prezioso,images/0014_Foam_White_2.jpg
Whoopher Olar,Snow Venato,white,marble,hmg,whoopher-olar,snow-venato,images/0015_Whoopher_Olar.jpg
Luminous Cloud,Ash Nebuloso,grey,marble,hmg,luminous-cloud,ash-nebuloso,images/0016_Luminous_Cloud.jpg
Bianco Carrara,Sabbia Carrara,beige,marble,hmg,bianco-carrara,sabbia-carrara,images/0017_Bianco_Carrara.jpg
Thassos White,Ghiaccio Classico,white,marble,hmg,thassos-white,ghiaccio-classico,images/0018_Thassos_White.jpg
Artic white,Lunare Artico,white,marble,hmg,artic-white,lunare-artico,images/0019_Artic_white.jpg
Bianco Lasa,Avorio Elegante,cream,marble,hmg,bianco-lasa,avorio-elegante,images/0020_Bianco_Lasa.jpg
Bianco Monte Rosa,Ivory Brillante,cream,marble,hmg,bianco-monte-rosa,ivory-brillante,images/0021_Bianco_Monte_Rosa.jpg
Bianco Rhino,Vanilla Antico,cream,marble,hmg,bianco-rhino,vanilla-antico,images/0022_Bianco_Rhino.jpg
Breccia Capraia,Sahara Lustro,beige,marble,hmg,breccia-capraia,sahara-lustro,images/0023_Breccia_Capraia.png
Albino Arowana,Bisque Regale,beige,marble,hmg,albino-arowana,bisque-regale,images/0024_Albino_Arowana.jpg
Bianco Husky,Parchment Puro,cream,marble,hmg,bianco-husky,parchment-puro,images/0025_Bianco_Husky.jpg
Capraia Areka Finish,Pearl Sontuoso,white,marble,hmg,capraia-areka-finish,pearl-sontuoso,images/0026_Capraia_Areka_Finish.jpg
Oyster white,Sabbia Finissimo,beige,marble,hmg,oyster-white,sabbia-finissimo,images/0027_Oyster_white.jpg
White Heron,Avena Nobile,beige,marble,hmg,white-heron,avena-nobile,images/0028_White_Heron.jpg
Crema Luna,Candido Lunare,cream,marble,hmg,crema-luna,candido-lunare,images/0029_Crema_Luna.jpg
BTC Classico,Crema Classico,beige,marble,hmg,btc-classico,crema-classico,images/0030_BTC_Classico.jpg
Euro Stella,Sand Stellare,beige,marble,hmg,euro-stella,sand-stellare,images/0031_Euro_Stella.jpg
Mandorla,Dune Imperiale,beige,marble,hmg,mandorla,dune-imperiale,images/0032_Mandorla.jpg
Crema Barita,Sahara Crema,beige,marble,hmg,crema-barita,sahara-crema,images/0033_Crema_Barita.jpg
Italian Beige,Bisque Supremo,beige,marble,hmg,italian-beige,bisque-supremo,images/0034_Italian_Beige.jpg
Crema Eve,Parchment Crema,cream,marble,hmg,crema-eve,parchment-crema,images/0035_Crema_Eve.jpg
Crema Eve Areka Finish,Almond Crema,cream,marble,hmg,crema-eve-areka-finish,almond-crema,images/0036_Crema_Eve_Areka_Finish.jpg
Image Stone,Sabbia Antico,beige,marble,hmg,image-stone,sabbia-antico,images/0037_Image_Stone.jpg
Indus Cream,Avena Crema,beige,marble,hmg,indus-cream,avena-crema,images/0038_Indus_Cream.jpg
Mond Areka Finish,Paglia Regale,beige,marble,hmg,mond-areka-finish,paglia-regale,images/0039_Mond_Areka_Finish.jpg
Mond,Crema Puro,beige,marble,hmg,mond,crema-puro,images/0040_Mond.jpg
BTC,Ivory Sontuoso,cream,marble,hmg,btc,ivory-sontuoso,images/0041_BTC.jpg
Whooper Olar,Jade Finissimo,green,marble,hmg,whooper-olar,jade-finissimo,images/0042_Whooper_Olar.jpg
Millefoglie,Smoke Nebuloso,grey,marble,hmg,millefoglie,smoke-nebuloso,images/0043_Millefoglie.jpg
Green Tortoise,Sage Prezioso,green,marble,hmg,green-tortoise,sage-prezioso,images/0044_Green_Tortoise.jpg
Ringtail Possum,Fern Venato,green,marble,hmg,ringtail-possum,fern-venato,images/0045_Ringtail_Possum.jpg
San Pedro,Malachite Magnifico,green,marble,hmg,san-pedro,malachite-magnifico,images/0046_San_Pedro.jpg
Lavamar,Pietra Vulcanico,grey,marble,hmg,lavamar,pietra-vulcanico,images/0047_Lavamar.jpg
Gun Metal Super Extra,Mandorla Supremo,cream,marble,hmg,gun-metal-super-extra,mandorla-supremo,images/0048_Gun_Metal_Super_Extra.jpg
Grego Pozzolana,Candido Supremo,cream,marble,hmg,grego-pozzolana,candido-supremo,images/0049_Grego_Pozzolana.jpg
Frill Back Light,Grigio Elegante,grey,marble,hmg,frill-back-light,grigio-elegante,images/0050_Frill_Back_Light.jpg
